ticker_b3,M0 (RW),M1 (GARCH),M2 (GARCH-X ΔSVI),M3 (GARCH-X log-dev)
BRAP3,4.845721052275391,0.598770529551928,0.5961054963858533,0.5987806784131028
BRAP4,0.9251107934667979,0.4417940687012765,0.44411997411362353,0.4417791619316896
BRAV3,1.8476902376274928,0.6304549947260828,0.6274994717496891,0.6259187908468207
BRKM3,1.6833660131521706,0.5385849972094813,0.5400855629587723,0.5401214447723015
BRKM5,1.3651062188484233,0.49231429270891347,0.49265431902815277,0.49261327520667403
BRKM6,371.0557458000453,2.419725320542472,2.4212649897594205,2.42057657073579
BRSR3,1.7681892808485082,0.4836322926522084,0.49939755593751156,0.48349465195306923
BRSR5,251.52383584983585,2.928691969826574,2.819365554357413,2.85725610639254
BRSR6,3.1699470876784055,0.48821568375894814,0.5070121787192079,0.48758297560625263
BSLI3,9.700774698227914,2.073349041815844,2.0746201969803466,2.074620527036098
CAMB3,0.8460957852230973,0.45582460349828774,0.45944677440650417,0.4593931452319039
CAML3,1.429542012454681,0.42733503309673326,0.42055391957595717,0.4326962254148069
CASH3,2.458998415182587,1.0057253576956795,1.0133270971369772,1.0133263599470173
CBEE3,160.99907702064732,5.119022547208615,5.119970696584796,5.119947292906004
CEBR3,3.4192437535572093,0.6430499610754893,0.6432843136313892,0.643275181887775
CEBR5,4.715315129237539,0.7831386356910969,0.7796180642586464,0.7795899051890021
CEBR6,2.5288390908326686,0.753817847219779,0.771498396516289,0.7532904504177776
CEDO3,558.4360812473377,2.5254487736492193,2.547642040020175,2.547641988760137
CEDO4,3.3071212082325365,0.8450101607724118,0.7870492406548768,0.860784016464512
CEEB3,3.5180133138162826,1.7664627762839837,1.8418711882385819,1.7579852643613436
CEEB5,23.100567286098876,13.829157537544882,13.827088893634185,13.83423417281125
CGAS3,582.9967608221473,2.1877338021359187,2.4471950129717457,2.277304217335425
CGRA3,11.949186443326653,1.3098169986210126,1.2680522788963604,1.3104533652919255
CGRA4,1.3131449411783611,1.0254594725397417,1.0197132650668768,1.0361364262028485
CLSC4,2.681134981703169,0.6460176800567173,0.6730750088383177,0.6831283699287999
CMIG3,1.5697507589866027,0.5877128364019508,0.5877573228381799,0.5877578725670957
CMIG4,0.8015953881448385,0.427460700456812,0.42764752063762324,0.4278179680122347
CMIN3,1.0580425556900601,0.42730093716710654,0.43967588018403075,0.4209946444888021
COCE5,1.7544545158679232,0.49801904387220103,0.48810643653870095,0.5051438487296043
COGN3,1.0080187861047631,0.43310609211231155,0.4332218972129354,0.4340437407383131
CPFE3,1.0455011910028456,0.4819257747812554,0.5177764326292832,0.48427363512602556
CPLE3,0.7234469940649558,0.3026031193194894,0.30558109765851676,0.3044073453137821
CRPG5,1.9984508134167762,1.2838445641384282,1.2230712876355714,1.2927702924347915
CRPG6,41.10134100151777,1.8084298536270456,2.0355019924930655,1.8717938789384572
CSAN3,0.8618753236778082,0.6941465571496197,0.7600118439690084,0.711924202286525
CSED3,1.0355596872122559,0.393843179464888,0.3938892871548774,0.3938944174882323
CSMG3,0.9931521300684888,0.43492774330574413,0.43460308298244277,0.43158576611795585
CSNA3,2.734683513649262,0.5907783026505942,0.5973605700068216,0.5705259628299783
CSUD3,1.0189599367424123,0.4411773977905212,0.5133609274542151,0.43994461773790294
CTKA4,2524.817257761681,1.5825001671799048,1.582501495236393,1.6561792797091899
CTSA3,12.488756739777282,2.456930721299847,2.0238824697771913,2.0239309986041656
CTSA4,4.716056920305224,1.1409556834633015,1.1736670261513935,1.2103931946393434
CURY3,0.9811291336737562,0.34059279156090594,0.33525825844068663,0.33850197509038216
CVCB3,1.0944777398274073,0.5949159595271392,0.5950668070413997,0.598830674679439
CYRE3,1.6537531940260763,0.67219990860895,0.6742407181669395,0.6724922624679893
DASA3,1.0098218597112538,0.40893873974907974,0.3823299723133125,0.40715021977163995
DEXP3,0.7373344040351028,0.4534146416836994,0.4495572620120171,0.4523543452056706
DEXP4,1.8593517342941162,0.7692086515908653,0.7692013327246296,0.7692006046199698
DIRR3,2.188362375333829,0.4551996762800239,0.454822382981674,0.45482062879703167
DMVF3,1.0543660914892012,0.4121840586540008,0.4177580309484522,0.4136102395891416
DOHL3,24.777154305284363,20.84721199945347,20.748389383382868,20.74828658438447
DOHL4,4.736607758329167,1.4144842211877053,1.4113132931384513,1.4156204197511943
DXCO3,0.8367302470030175,0.3227551989464136,0.3743340995122439,0.32588091727893415
EALT3,10.721001773054455,1.0238527125433081,1.0239171739335955,1.0239146946932147
EALT4,1.4804996464373767,0.9380106320621374,0.8299450422509638,0.9356724168953493
