ticker_b3,svi_adf_stat,svi_adf_pvalor,svi_estacionario,svi_diff_adf_stat,svi_diff_adf_pvalor,svi_diff_estacionario
PRIO3,-7.9509,0.0,True,-11.8501,0.0,True
PRNR3,-7.6799,0.0,True,-8.1193,0.0,True
PSSA3,-2.8134,0.0564,False,-4.687,0.0001,True
PTBL3,-5.0231,0.0,True,-4.53,0.0002,True
PTNT3,-14.0106,0.0,True,-8.8905,0.0,True
PTNT4,-5.337,0.0,True,-8.018,0.0,True
QUAL3,-2.3613,0.1529,False,-9.1783,0.0,True
RADL3,-2.4854,0.1191,False,-4.4195,0.0003,True
RAIL3,-3.7702,0.0032,True,-8.9887,0.0,True
RANI3,-3.6199,0.0054,True,-10.1912,0.0,True
RAPT3,-7.26,0.0,True,-7.517,0.0,True
RAPT4,-2.6115,0.0906,False,-9.0266,0.0,True
RCSL3,-4.0026,0.0014,True,-7.7233,0.0,True
RCSL4,-2.5541,0.1029,False,-11.8284,0.0,True
RDOR3,-4.1508,0.0008,True,-8.7279,0.0,True
REDE3,-13.1741,0.0,True,-7.7818,0.0,True
RENT3,-3.9102,0.002,True,-8.4077,0.0,True
RNEW3,-5.3859,0.0,True,-8.578,0.0,True
RNEW4,-4.4278,0.0003,True,-6.988,0.0,True
ROMI3,-3.4517,0.0093,True,-7.5797,0.0,True
RPAD3,-16.1245,0.0,True,-8.4676,0.0,True
RPAD6,-16.1245,0.0,True,-7.2206,0.0,True
RPMG3,-5.9888,0.0,True,-6.8008,0.0,True
RSID3,-4.6411,0.0001,True,-12.0847,0.0,True
RSUL4,-7.1586,0.0,True,-8.4451,0.0,True
SANB11,-1.8801,0.3415,False,-9.434,0.0,True
SANB3,-1.1791,0.6825,False,-7.696,0.0,True
SANB4,-1.4048,0.58,False,-10.8126,0.0,True
SAPR11,-3.2586,0.0168,True,-10.7708,0.0,True
SAPR3,-2.1725,0.2164,False,-9.3564,0.0,True
SAPR4,-2.5202,0.1106,False,-11.5434,0.0,True
SBFG3,-4.6021,0.0001,True,-10.1884,0.0,True
SBSP3,-4.8162,0.0001,True,-16.7535,0.0,True
SCAR3,-6.39,0.0,True,-7.3259,0.0,True
SEER3,-5.4654,0.0,True,-9.1471,0.0,True
SEQL3,-1.8164,0.3723,False,-7.034,0.0,True
SHOW3,-2.7054,0.0731,False,-8.3116,0.0,True
SHUL4,-4.724,0.0001,True,-13.2087,0.0,True
SIMH3,-2.2942,0.1739,False,-7.361,0.0,True
SLCE3,-5.0751,0.0,True,-11.7962,0.0,True
SMTO3,-4.2503,0.0005,True,-7.4409,0.0,True
SNSY5,-16.2458,0.0,True,-8.4676,0.0,True
SOND6,-16.1245,0.0,True,-8.4676,0.0,True
SUZB3,-7.2295,0.0,True,-9.9057,0.0,True
SYNE3,-7.776,0.0,True,-9.193,0.0,True
TAEE11,-2.9075,0.0445,True,-6.386,0.0,True
TAEE3,-2.8265,0.0546,False,-8.4821,0.0,True
TAEE4,-3.083,0.0278,True,-9.3254,0.0,True
TASA3,-3.1386,0.0238,True,-9.6735,0.0,True
TASA4,-1.5531,0.5071,False,-8.6072,0.0,True
TCSA3,-3.9886,0.0015,True,-9.5285,0.0,True
TECN3,-6.9748,0.0,True,-12.2277,0.0,True
TELB3,-13.2436,0.0,True,-8.0889,0.0,True
TELB4,-3.7817,0.0031,True,-10.98,0.0,True
TEND3,-1.8783,0.3424,False,-5.6887,0.0,True
TFCO4,-14.9322,0.0,True,-9.8479,0.0,True
TGMA3,-5.6633,0.0,True,-6.0417,0.0,True
TIMS3,-5.0819,0.0,True,-9.2398,0.0,True
TKNO4,-16.1245,0.0,True,-8.4676,0.0,True
TOTS3,-5.0784,0.0,True,-12.3187,0.0,True
TPIS3,-6.2086,0.0,True,-5.2996,0.0,True
TRIS3,-1.5044,0.5313,False,-8.262,0.0,True
TUPY3,-5.1358,0.0,True,-10.3622,0.0,True
