ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,gamma_m3_medio,gamma_m3_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3
BMOB3,95,0.004370777367758604,0.9894805510164937,1.0526315789473684,1.2460338518442638e-8,0.999999332309094,0,0.9854553641639944,0.9860499991811748,0.9822010192696821
BNBR3,95,0.0624068930902377,0.9015943439767291,7.368421052631578,0.17464345812846208,0.9741554765800201,1.0526315789473684,0.9774398582189651,0.9771799963166096,0.9730657344838448
BOBR4,95,0.006684805334344486,0.9894735715584413,1.0526315789473684,0.010279154020287236,0.989473664711089,1.0526315789473684,0.9953361695601255,0.9938451926513577,0.9955886475641385
BPAC11,95,0.4562160938496931,0.24879585561863632,72.63157894736842,2.994239098442273,0.8318970248100794,16.842105263157894,0.9019353294152499,0.8816455310396485,0.7783860000369854
BPAC3,95,0.007245553621015229,0.9924708518034986,0,8.80029896354905e-9,0.9999995683468564,0,0.9937051569684665,0.9939938460128742,0.9941555492566596
BPAC5,95,0.012116228514075882,0.9487192587919565,4.2105263157894735,4.182267590287502e-9,0.9999999512410336,0,0.8887148453131126,0.887024866179478,0.8886355167774924
BRAP3,95,0.0071933049802203,0.9580191274313583,4.2105263157894735,1.1723535756455254e-8,0.9999990371407584,0,0.9944836293213067,0.99144641322006,0.994483518966241
BRAP4,95,0.03303880638231749,0.9481108940166968,4.2105263157894735,9.14900019087451e-9,0.9999999402265245,0,0.9940520277820467,0.9779623055344491,0.9940816778709007
BRAV3,95,0.7063844599349737,0.5934865885985081,37.9746835443038,15.547437193212298,0.7467830192657388,21.518987341772153,0.8185775882116,0.7929791476035332,0.7428238033998587
BRKM3,95,1.381771759150608e-8,0.9999999363389035,0,9.972414125214026e-9,0.9999981036028024,0,0.9926207030525198,0.9927509134612179,0.992730918053062
BRKM5,95,1.4470642582840179e-8,0.999999940258596,0,1.0108534137659058e-8,0.9999999975513979,0,0.9733839876659837,0.9714977169118174,0.9739098603807624
BRKM6,95,6.561072952498252e-9,0.9999999324970545,0,0.7194871776456299,0.9630406577090843,0,0.9763586466004632,0.8783878907690884,0.8798253281109667
BRSR3,95,0.011772769113550253,0.9371623685737294,6.315789473684211,8.723209079852546e-9,0.9999981946584425,0,0.9882046398164537,0.9839178150882979,0.9903434385271117
BRSR5,95,0.40111434770345294,0.4413206127421108,54.761904761904766,0.7655833065508116,0.9475882714956287,0,0.6020855616563028,0.5402794703066186,0.5792791927481403
