ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,gamma_m3_medio,gamma_m3_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3,svi_zeros_pct
CTSA4,95,2.6991,0.2105,78.9474,11.4297,0.2328,75.7895,0.9735,0.7545,0.6332,0.9042
CURY3,95,0.0469,0.8751,11.5789,0.0,1.0,0.0,0.9902,0.9714,0.9876,0.1456
CVCB3,95,1.4703,0.4105,58.9474,39.045,0.5368,46.3158,0.6611,0.8768,0.5908,0.0
CYRE3,95,0.0136,0.9895,1.0526,0.0,1.0,0.0,0.9938,0.9913,0.9938,0.0
DASA3,95,5.7259,0.1267,84.2105,1.669,0.85,11.5789,0.8897,0.9312,0.89,0.1418
DEXP3,95,0.0795,0.775,16.8421,0.1745,0.89,0.0,0.9417,0.9426,0.9394,0.1762
DEXP4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9754,0.9754,0.9754,0.9847
DIRR3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9966,0.9968,0.9968,0.0192
DMVF3,95,0.0561,0.9158,8.4211,0.3718,0.9368,6.3158,0.9747,0.9867,0.9398,0.5517
DOHL3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.999,1.2894,1.2894,0.9923
DOHL4,95,0.0048,0.8831,0.0,0.1196,0.9112,0.0,0.4839,0.4811,0.4808,0.9617
DXCO3,95,0.209,0.574,41.0526,0.3153,0.9369,6.3158,0.9601,0.8907,0.9198,0.2299
EALT3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9974,0.9975,0.9975,0.9885
EALT4,95,0.1176,0.668,30.5263,0.4893,0.7197,27.3684,0.9402,0.9451,0.8711,0.7165
ECOR3,95,0.039,0.9585,3.1579,0.4488,0.9684,3.1579,0.9771,0.9807,0.9582,0.0077
EGIE3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9943,0.9948,0.9949,0.0
EKTR3,95,0.0432,0.9842,0.0,0.2652,0.991,0.0,0.9928,0.995,0.9776,0.9885
EKTR4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9921,0.9925,0.9925,0.9732
EMAE4,95,0.7028,0.4526,54.7368,1.4248,0.758,24.2105,0.9847,1.0182,1.0439,0.8429
ENEV3,95,0.1182,0.8947,10.5263,0.0496,0.9895,1.0526,0.9785,0.9658,0.971,0.0345
ENGI11,95,0.0144,0.9159,8.4211,0.0,1.0,0.0,0.9979,0.998,0.998,0.341
ENGI3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9972,0.998,0.998,0.6513
ENGI4,95,0.1047,0.5916,41.0526,0.0344,0.9628,0.0,0.9868,0.9877,0.9867,0.7969
ENJU3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9958,0.9944,0.9961,0.069
ENMT3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9611,0.9294,0.9294,0.9847
EPAR3,95,0.6758,0.2951,70.5263,2.3071,0.4247,21.0526,0.8842,0.8448,0.7426,0.8927
EQMA3B,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9592,1.002,1.0029,0.9962
EQPA3,95,0.0014,0.992,0.0,0.0,1.0,0.0,0.9898,0.9886,0.9899,0.8966
EQTL3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9965,0.9966,0.9966,0.0
ESPA3,95,0.231,0.9158,8.4211,0.0,1.0,0.0,0.9755,0.9636,0.9755,0.0728
ESTR4,95,0.4316,0.8947,10.5263,0.0,1.0,0.0,0.9964,1.0237,1.0191,0.9923
ETER3,95,0.1511,0.9053,9.4737,0.2375,0.9684,3.1579,0.9846,0.9767,0.9842,0.0153
EUCA3,95,0.5704,0.291,28.4211,24.1186,0.2429,0.0,0.7975,0.8384,0.4065,0.9502
EUCA4,95,0.3418,0.7368,26.3158,0.3417,0.8737,12.6316,0.9812,0.9682,0.959,0.7203
EVEN3,95,0.0295,0.8878,0.0,0.2107,0.9529,1.0526,0.9747,0.9738,0.9718,0.0
EZTC3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9975,0.9976,0.9976,0.0
FESA3,95,0.0159,0.9513,0.0,0.0,1.0,0.0,0.9754,0.9781,0.977,0.9732
FESA4,95,0.0796,0.8006,20.0,1.1769,0.839,4.2105,0.9579,0.9424,0.9391,0.0
FHER3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9684,0.9961,0.9981,0.4483
FIGE3,95,0.0012,0.6187,38.0952,0.0,0.9996,0.0,0.8369,1.002,0.9996,0.9885
FLRY3,95,0.0228,0.9591,3.1579,0.0,1.0,0.0,0.9876,0.9881,0.9878,0.0
