ticker_yf,dias,vol_fin_medio
PLAS3.SA,1243,16191.9
VSTE3.SA,1239,629246.61
EUCA3.SA,1243,44596.73
FESA3.SA,1243,9838.7
CLSC4.SA,1243,321928.46
BMIN4.SA,1243,10024.81
BGIP4.SA,1243,24912.08
PATI3.SA,1243,8692.83
MNDL3.SA,1243,62220.62
TELB3.SA,1243,43137.99
CGAS5.SA,1243,165744.57
MTSA4.SA,1243,135207.6
SOND6.SA,1243,789.1
TKNO4.SA,1243,8476.63
BNBR3.SA,1243,10750.7
MRSA3B.SA,1243,1529.18
EALT3.SA,1243,13157.11
CEDO3.SA,1243,30347.78
CTSA4.SA,1243,97062.59
BGIP3.SA,1243,3144.72
GEPA4.SA,1243,17531.04
PATI4.SA,1243,1936.36
FIGE3.SA,1243,5.49
CEDO4.SA,1243,97511.08
RPAD5.SA,1243,33374.37
DOHL4.SA,1243,26538.35
DTCY3.SA,1243,6264.38
BMKS3.SA,1243,20469.78
SNSY5.SA,1243,30944.8
JFEN3.SA,1243,2058834.28
PPLA11.SA,1243,4240.92
PEAB4.SA,1243,7859.69
CEEB3.SA,1243,40930.9
MRSA5B.SA,1243,459.78
AHEB3.SA,1243,2031.25
GSHP3.SA,1243,6890.23
MRSA6B.SA,1243,363.36
GEPA3.SA,1243,3086.02
BRKM6.SA,1243,2522.38
ENMT3.SA,1243,55756.7
CEEB5.SA,1243,715.7
WLMM3.SA,1243,2001.8
BDLL4.SA,1243,9896.83
SOND5.SA,1243,1393.63
CTKA3.SA,1243,1848.12
DOHL3.SA,1243,385.92
ESTR4.SA,1243,6507.05
CBEE3.SA,1237,4595.52
PTNT3.SA,1243,78370.96
EKTR3.SA,1243,969.03
EQMA3B.SA,1243,50234.85
UNIP5.SA,1243,25250.94
AXIA5.SA,1243,1076.87
HETA4.SA,1243,11795.22
MWET3.SA,1243,694.0
PEAB3.SA,1243,6436.31
CGAS3.SA,1243,13333.15
RPAD3.SA,1243,13536.92
HBTS5.SA,1243,9368.61
BRSR5.SA,1243,1656.22
CRPG6.SA,1243,44668.47
AFLT3.SA,1243,5106.63
USIM6.SA,1243,377.54
MERC4.SA,1243,5413.3
